ParkName,State,partySize,BookingType,RateType,Equipment
Dollar Lake,NS ,5,CampsitePermit,Full,ST
Ellenwood Lake,NS ,4,CampsitePermit,Full,ST
Caribou Munroes,NS ,6,CampsitePermit,Full,ST
Mira River,NS ,4,CampsitePermit,Full,LT30ft
Caribou Munroes,NS ,2,CampsitePermit,Senior,LT20ft
Valleyview,NS ,2,CampsitePermit,Full,ST
Dollar Lake,NS ,2,CampsitePermit,Senior,ST
Dollar Lake,NS ,2,CampsitePermit,Full,ST
Boylston,NS ,2,CampsitePermit,Full,LT30ft
Caribou Munroes,NS ,4,CampsitePermit,Full,ST
Dollar Lake,NS ,4,CampsitePermit,Full,LT20ft
Porters Lake,NS ,2,CampsitePermit,Full,ST
Smileys,NS ,6,CampsitePermit,Full,ST
Thomas Raddall,NS ,2,CampsitePermit,Senior,Tents
Laurie,NS ,2,CampsitePermit,Full,ST
Graves Island,NS ,2,CampsitePermit,Full,ST
Thomas Raddall,NS ,1,CampsitePermit,Full,ST
Five Islands,NS ,3,CampsitePermit,Full,ST
Rissers Beach,NS ,2,CampsitePermit,Full,LT30ft
Ellenwood Lake,NS ,3,CampsitePermit,Full,ST
Laurie,NS ,2,CampsitePermit,Full,LT30ft
Rissers Beach,NS ,6,CampsitePermit,Full,ST
Porters Lake,NS ,3,CampsitePermit,Full,LT30ft
Dollar Lake,NS ,8,CampsitePermit,Full,LT30ft
Dollar Lake,NS ,4,CampsitePermit,Full,LT20ft
Graves Island,NS ,3,CampsitePermit,Full,ST
Rissers Beach,NS ,2,CampsitePermit,Full,LT30ft
Graves Island,NS ,4,CampsitePermit,Full,LT30ft
Amherst Shore,NS ,4,CampsitePermit,Full,Tents
Laurie,NS ,2,CampsitePermit,Full,LT40ft
Battery,NS ,2,CampsitePermit,Senior,ST
Cape Chignecto,NS ,1,BackcountryPermit,Full,ST
Porters Lake,NS ,2,CampsitePermit,Full,ST
Blomidon,NS ,3,CampsitePermit,Full,ST
The Islands,NS ,2,CampsitePermit,Full,LT20ft
Graves Island,NS ,4,CampsitePermit,Full,Tents
Cape Chignecto,NS ,2,BackcountryPermit,Full,ST
Valleyview,NS ,1,CampsitePermit,Full,LT30ft
Dollar Lake,NS ,4,CampsitePermit,Full,ST
The Islands,NS ,2,CampsitePermit,Full,Tents
Porters Lake,NS ,4,CampsitePermit,Full,LT30ft
Cape Chignecto,NS ,2,BackcountryPermit,Full,ST
Battery,NS ,2,CampsitePermit,Senior,ST
Five Islands,NS ,2,CampsitePermit,Full,LT20ft
Rissers Beach,NS ,2,CampsitePermit,Full,LT20ft
Graves Island,NS ,2,CampsitePermit,Full,ST
Laurie,NS ,4,CampsitePermit,Full,LT30ft
Rissers Beach,NS ,3,CampsitePermit,Full,ST
Rissers Beach,NS ,2,CampsitePermit,Senior,LT30ft
Caribou Munroes,NS ,1,CampsitePermit,Full,Tents
Thomas Raddall,NS ,5,CampsitePermit,Full,Tents
Porters Lake,NS ,4,CampsitePermit,Full,LT30ft
Rissers Beach,NS ,3,CampsitePermit,Full,LT30ft
Caribou Munroes,NS ,2,CampsitePermit,Full,ST
Graves Island,NS ,3,CampsitePermit,Full,LT30ft
Dollar Lake,NS ,1,CampsitePermit,Full,ST
Caribou Munroes,NS ,6,CampsitePermit,Senior,LT30ft
Porters Lake,NS ,3,CampsitePermit,Full,LT40ft
Porters Lake,NS ,2,CampsitePermit,Full,LT20ft
Dollar Lake,NS ,4,CampsitePermit,Full,LT20ft
Thomas Raddall,NS ,6,CampsitePermit,Full,Tents
Dollar Lake,NS ,6,CampsitePermit,Full,Tents
The Islands,NS ,2,CampsitePermit,Senior,LT20ft
Porters Lake,NS ,1,CampsitePermit,Full,ST
Smileys,NS ,1,CampsitePermit,Full,LT20ft
Ellenwood Lake,NS ,2,CampsitePermit,Full,LT20ft
Blomidon,NS ,4,CampsitePermit,Veteran,Tents
Dollar Lake,NS ,7,CampsitePermit,Full,ST
Rissers Beach,NS ,4,CampsitePermit,Full,ST
Thomas Raddall,NS ,2,CampsitePermit,Full,LT30ft
Dollar Lake,NS ,4,CampsitePermit,Full,ST
Mira River,NS ,4,CampsitePermit,Full,LT40ft
Cape Chignecto,NS ,2,BackcountryPermit,Full,ST
Graves Island,NS ,4,CampsitePermit,Full,LT40ft
Rissers Beach,NS ,2,CampsitePermit,Senior,LT20ft
Mira River,NS ,4,CampsitePermit,Full,LT40ft
Ellenwood Lake,NS ,3,CampsitePermit,Full,ST
Graves Island,NS ,2,CampsitePermit,Full,LT30ft
Porters Lake,NS ,2,CampsitePermit,Full,ST
Laurie,NS ,4,CampsitePermit,Full,LT30ft
Dollar Lake,NS ,2,CampsitePermit,Full,ST
Five Islands,NS ,2,CampsitePermit,Full,ST
Porters Lake,NS ,4,CampsitePermit,Full,LT30ft
Dollar Lake,NS ,4,CampsitePermit,Veteran,LT20ft
Graves Island,NS ,4,CampsitePermit,Full,LT20ft
Laurie,NS ,4,CampsitePermit,Full,LT30ft
The Islands,NS ,2,CampsitePermit,Senior,LT20ft
Rissers Beach,NS ,3,CampsitePermit,Full,Tents
Graves Island,NS ,6,CampsitePermit,Full,Tents
Rissers Beach,NS ,2,CampsitePermit,Full,LT20ft
Blomidon,NS ,4,CampsitePermit,Full,Tents
Thomas Raddall,NS ,1,CampsitePermit,Full,ST
Graves Island,NS ,2,CampsitePermit,Full,LT40ft
Caribou Munroes,NS ,6,CampsitePermit,Full,Tents
Valleyview,NS ,2,CampsitePermit,Full,LT30ft
Ellenwood Lake,NS ,5,CampsitePermit,Full,Tents
Dollar Lake,NS ,3,CampsitePermit,Full,ST
Mira River,NS ,2,CampsitePermit,Full,LT30ft
Rissers Beach,NS ,4,CampsitePermit,Full,ST
Dollar Lake,NS ,1,CampsitePermit,Full,ST
Graves Island,NS ,2,CampsitePermit,Full,LT30ft
Graves Island,NS ,4,CampsitePermit,Full,LT30ft
Amherst Shore,NS ,5,CampsitePermit,Full,Tents
Caribou Munroes,NS ,2,CampsitePermit,Full,LT30ft
Thomas Raddall,NS ,4,CampsitePermit,Full,ST
Mira River,NS ,4,CampsitePermit,Full,ST
Caribou Munroes,NS ,4,CampsitePermit,Full,LT20ft
Thomas Raddall,NS ,6,CampsitePermit,Senior,LT30ft
Laurie,NS ,2,CampsitePermit,Full,LT30ft
Caribou Munroes,NS ,2,CampsitePermit,Full,LT30ft
Smileys,NS ,3,CampsitePermit,Full,LT30ft
Amherst Shore,NS ,2,CampsitePermit,Full,ST
Graves Island,NS ,2,CampsitePermit,Full,LT40ft
Ellenwood Lake,NS ,5,CampsitePermit,Full,ST
Rissers Beach,NS ,2,CampsitePermit,FULL,LT30ft
Amherst Shore,NS ,4,CampsitePermit,Senior,LT30ft
Five Islands,NS ,3,CampsitePermit,Full,ST
Blomidon,NS ,4,CampsitePermit,Full,ST
Caribou Munroes,NS ,2,CampsitePermit,Full,ST
Blomidon,NS ,5,CampsitePermit,Full,Tents
Rissers Beach,NS ,2,CampsitePermit,Full,ST
The Islands,NS ,2,CampsitePermit,Full,ST
Graves Island,NS ,2,CampsitePermit,Full,LT30ft
Porters Lake,NS ,6,CampsitePermit,Full,Tents
Graves Island,NS ,2,CampsitePermit,Full,LT30ft
Five Islands,NS ,3,CampsitePermit,Full,ST
Ellenwood Lake,NS ,2,CampsitePermit,Full,ST
Graves Island,NS ,4,CampsitePermit,Veteran,LT20ft
Caribou Munroes,NS ,3,CampsitePermit,Full,LT20ft
Ellenwood Lake,NS ,5,CampsitePermit,Full,LT20ft
Dollar Lake,NS ,6,CampsitePermit,Full,ST
Blomidon,NS ,2,CampsitePermit,Full,LT30ft
Graves Island,NS ,4,CampsitePermit,Senior,LT20ft
Porters Lake,NS ,2,CampsitePermit,Full,LT20ft
Valleyview,NS ,2,CampsitePermit,Full,ST
Caribou Munroes,NS ,3,CampsitePermit,Full,ST
Graves Island,NS ,2,CampsitePermit,Senior,LT20ft
Dollar Lake,NS ,3,CampsitePermit,Full,ST
Thomas Raddall,NS ,4,CampsitePermit,Full,ST
Caribou Munroes,NS ,2,CampsitePermit,Full,ST
Blomidon,NS ,6,CampsitePermit,Full,Tents
Dollar Lake,NS ,4,CampsitePermit,Full,LT20ft
Smileys,NS ,2,CampsitePermit,Full,ST
Rissers Beach,NS ,3,CampsitePermit,Full,LT30ft
Smileys,NS ,4,CampsitePermit,Full,ST
Thomas Raddall,NS ,3,CampsitePermit,Full,LT30ft
Rissers Beach,NS ,2,CampsitePermit,Full,Greater than 40ft
Boylston,NS ,4,CampsitePermit,Full,ST
Rissers Beach,NS ,2,CampsitePermit,Senior,LT20ft
Caribou Munroes,NS ,3,CampsitePermit,Full,ST
Blomidon,NS ,2,CampsitePermit,Full,ST
Battery,NS ,3,CampsitePermit,Full,ST
Rissers Beach,NS ,2,CampsitePermit,Senior,LT30ft
Caribou Munroes,NS ,2,CampsitePermit,Full,Tents
Rissers Beach,NS ,4,CampsitePermit,Full,Tents
Mira River,NS ,2,CampsitePermit,Full,LT20ft
Porters Lake,NS ,6,CampsitePermit,Full,Tents
Rissers Beach,NS ,6,CampsitePermit,Full,LT30ft
Caribou Munroes,NS ,4,CampsitePermit,Full,Tents
Blomidon,NS ,2,CampsitePermit,Full,ST
Mira River,NS ,4,CampsitePermit,Full,Tents
Thomas Raddall,NS ,3,CampsitePermit,Full,ST
Rissers Beach,NS ,4,CampsitePermit,Full,LT20ft
Mira River,NS ,4,CampsitePermit,Full,LT20ft
Laurie,NS ,3,CampsitePermit,Full,ST
Porters Lake,NS ,2,CampsitePermit,Full,ST
Laurie,NS ,4,CampsitePermit,Full,ST
Porters Lake,NS ,2,CampsitePermit,Full,ST
Mira River,NS ,5,CampsitePermit,Full,LT20ft
Caribou Munroes,NS ,4,CampsitePermit,Full,LT30ft
Five Islands,NS ,2,CampsitePermit,Full,LT30ft
Graves Island,NS ,2,CampsitePermit,Full,LT30ft
Caribou Munroes,NS ,5,CampsitePermit,Full,Tents
Mira River,NS ,3,CampsitePermit,Full,LT20ft
Battery,NS ,3,CampsitePermit,Full,LT30ft
The Islands,NS ,4,CampsitePermit,Full,Tents
Dollar Lake,NS ,3,CampsitePermit,Full,ST
Caribou Munroes,NS ,6,CampsitePermit,Full,ST
Laurie,NS ,3,CampsitePermit,Senior,ST
Ellenwood Lake,NS ,4,CampsitePermit,Full,LT30ft
Dollar Lake,NS ,4,CampsitePermit,Full,Tents
Five Islands,NS ,3,CampsitePermit,Full,ST
Rissers Beach,NS ,5,CampsitePermit,Full,ST
Rissers Beach,NS ,4,CampsitePermit,Full,LT30ft
Dollar Lake,NS ,4,CampsitePermit,Full,ST
Smileys,NS ,5,CampsitePermit,Full,LT20ft
Rissers Beach,NS ,3,CampsitePermit,Full,LT20ft
Caribou Munroes,NS ,3,CampsitePermit,Full,ST
Rissers Beach,NS ,1,CampsitePermit,Full,Tents
Thomas Raddall,NS ,4,CampsitePermit,Full,ST
Caribou Munroes,NS ,2,CampsitePermit,Full,LT30ft
Rissers Beach,NS ,2,CampsitePermit,Full,ST
Caribou Munroes,NS ,6,CampsitePermit,Full,LT30ft
Rissers Beach,NS ,2,CampsitePermit,Full,LT30ft
Laurie,NS ,4,CampsitePermit,Full,Tents
Thomas Raddall,NS ,3,CampsitePermit,Full,ST
Whycocomagh,NS ,2,CampsitePermit,Full,ST
Caribou Munroes,NS ,3,CampsitePermit,Full,ST
Thomas Raddall,NS ,4,CampsitePermit,Full,Tents
Blomidon,NS ,4,CampsitePermit,Full,ST
Ellenwood Lake,NS ,3,CampsitePermit,Full,ST
Rissers Beach,NS ,4,CampsitePermit,Senior,LT20ft
Mira River,NS ,4,CampsitePermit,Full,LT40ft
Mira River,NS ,3,CampsitePermit,Full,LT40ft
Ellenwood Lake,NS ,3,CampsitePermit,Full,ST
Graves Island,NS ,2,CampsitePermit,Full,LT30ft
Smileys,NS ,4,CampsitePermit,Full,ST
Five Islands,NS ,3,CampsitePermit,Full,ST
Smileys,NS ,4,CampsitePermit,Full,LT20ft
Mira River,NS ,2,CampsitePermit,Full,LT40ft
Mira River,NS ,5,CampsitePermit,Senior,ST
Smileys,NS ,4,CampsitePermit,Full,LT30ft
Caribou Munroes,NS ,2,CampsitePermit,Senior,LT30ft
Dollar Lake,NS ,2,CampsitePermit,Full,LT20ft
Cape Chignecto,NS ,4,BackcountryPermit,Full,ST
Caribou Munroes,NS ,2,CampsitePermit,Full,ST
Ellenwood Lake,NS ,4,CampsitePermit,Full,LT30ft
Blomidon,NS ,1,CampsitePermit,Senior,ST
Graves Island,NS ,2,CampsitePermit,Full,LT40ft
Salsman,NS ,2,CampsitePermit,Full,LT30ft
Mira River,NS ,5,CampsitePermit,Full,ST
Rissers Beach,NS ,6,CampsitePermit,Full,LT30ft
Caribou Munroes,NS ,4,CampsitePermit,Full,LT30ft
Smileys,NS ,5,CampsitePermit,Full,LT30ft
Ellenwood Lake,NS ,3,CampsitePermit,Full,ST
The Islands,NS ,2,CampsitePermit,Full,ST
Amherst Shore,NS ,2,CampsitePermit,Senior,LT30ft
Rissers Beach,NS ,2,CampsitePermit,Full,LT30ft
Laurie,NS ,3,CampsitePermit,Full,LT20ft
Mira River,NS ,6,CampsitePermit,Full,Tents
Caribou Munroes,NS ,3,CampsitePermit,Full,ST
Caribou Munroes,NS ,6,CampsitePermit,Veteran,LT20ft
Blomidon,NS ,4,CampsitePermit,Full,ST
Rissers Beach,NS ,4,CampsitePermit,Full,LT40ft
Blomidon,NS ,1,CampsitePermit,Full,LT30ft
Blomidon,NS ,6,CampsitePermit,Full,Tents
Smileys,NS ,2,CampsitePermit,Full,LT20ft
Graves Island,NS ,1,CampsitePermit,Full,ST
Graves Island,NS ,2,CampsitePermit,Full,LT30ft
Rissers Beach,NS ,2,CampsitePermit,Full,LT30ft
Thomas Raddall,NS ,3,CampsitePermit,Full,ST
Thomas Raddall,NS ,4,CampsitePermit,Full,ST
Porters Lake,NS ,2,CampsitePermit,Full,ST
Rissers Beach,NS ,5,CampsitePermit,Full,Tents
Caribou Munroes,NS ,2,CampsitePermit,Full,LT20ft
Rissers Beach,NS ,2,CampsitePermit,Full,LT20ft
Thomas Raddall,NS ,2,CampsitePermit,Full,ST
Caribou Munroes,NS ,3,CampsitePermit,Full,LT20ft
Mira River,NS ,2,CampsitePermit,Full,LT30ft
Ellenwood Lake,NS ,6,CampsitePermit,Full,LT40ft
Graves Island,NS ,2,CampsitePermit,Full,LT30ft
Thomas Raddall,NS ,4,CampsitePermit,Full,ST
Dollar Lake,NS ,5,CampsitePermit,Full,Tents
Porters Lake,NS ,5,CampsitePermit,Full,Tents
Mira River,NS ,3,CampsitePermit,Full,ST
Thomas Raddall,NS ,4,CampsitePermit,Full,LT40ft
Caribou Munroes,NS ,2,CampsitePermit,Full,ST
Graves Island,NS ,6,CampsitePermit,Full,LT30ft
Caribou Munroes,NS ,2,CampsitePermit,Senior,LT30ft
Rissers Beach,NS ,2,CampsitePermit,Senior,LT30ft
Ellenwood Lake,NS ,4,CampsitePermit,Full,Tents
Rissers Beach,NS ,2,CampsitePermit,Full,ST
Dollar Lake,NS ,4,CampsitePermit,Full,ST
Mira River,NS ,5,CampsitePermit,Full,ST
Smileys,NS ,5,CampsitePermit,Full,LT20ft
Rissers Beach,NS ,3,CampsitePermit,Full,Tents
Blomidon,NS ,2,CampsitePermit,Full,ST
Ellenwood Lake,NS ,3,CampsitePermit,Full,Tents
Smileys,NS ,5,CampsitePermit,Full,LT20ft
Mira River,NS ,4,CampsitePermit,Full,ST
Battery,NS ,2,CampsitePermit,Full,ST
Rissers Beach,NS ,3,CampsitePermit,Full,LT20ft
Smileys,NS ,2,CampsitePermit,Senior,LT30ft
Valleyview,NS ,2,CampsitePermit,Full,ST
Mira River,NS ,5,CampsitePermit,Full,ST
Caribou Munroes,NS ,3,CampsitePermit,Full,LT20ft
Valleyview,NS ,2,CampsitePermit,Senior,ST
Five Islands,NS ,2,CampsitePermit,Full,ST
Caribou Munroes,NS ,2,CampsitePermit,Full,LT30ft
Rissers Beach,NS ,4,CampsitePermit,Full,ST
Blomidon,NS ,4,CampsitePermit,Full,LT20ft
Valleyview,NS ,2,CampsitePermit,Senior,LT20ft
Graves Island,NS ,1,CampsitePermit,Full,ST
Valleyview,NS ,2,CampsitePermit,Senior,ST
Mira River,NS ,4,CampsitePermit,Full,LT40ft
Dollar Lake,NS ,3,CampsitePermit,Full,ST
Caribou Munroes,NS ,4,CampsitePermit,Full,ST
Graves Island,NS ,4,CampsitePermit,Full,LT20ft
Porters Lake,NS ,4,CampsitePermit,Full,LT20ft
Graves Island,NS ,1,CampsitePermit,Full,ST
Dollar Lake,NS ,4,CampsitePermit,Full,Tents
Dollar Lake,NS ,2,CampsitePermit,Full,ST
Porters Lake,NS ,5,CampsitePermit,Full,LT20ft
Smileys,NS ,2,CampsitePermit,Full,LT40ft
Rissers Beach,NS ,4,CampsitePermit,Full,LT20ft
Graves Island,NS ,2,CampsitePermit,Full,ST
Mira River,NS ,2,CampsitePermit,Full,ST
Cape Chignecto,NS ,2,BackcountryPermit,Full,ST
Dollar Lake,NS ,4,CampsitePermit,Full,Tents
Graves Island,NS ,2,CampsitePermit,Full,ST
Rissers Beach,NS ,6,CampsitePermit,Full,Tents
Mira River,NS ,2,CampsitePermit,Full,LT20ft
Blomidon,NS ,2,CampsitePermit,Full,ST
Five Islands,NS ,4,CampsitePermit,Full,LT20ft
Graves Island,NS ,4,CampsitePermit,Full,Tents
Mira River,NS ,5,CampsitePermit,Full,ST
Battery,NS ,2,CampsitePermit,Full,LT20ft
Five Islands,NS ,3,CampsitePermit,Full,ST
Graves Island,NS ,3,CampsitePermit,Full,LT30ft
Amherst Shore,NS ,2,CampsitePermit,Full,ST
Cape Chignecto,NS ,2,BackcountryPermit,Full,ST
Rissers Beach,NS ,4,CampsitePermit,Full,LT20ft
Valleyview,NS ,4,CampsitePermit,Full,LT20ft
Laurie,NS ,3,CampsitePermit,Full,LT30ft
Caribou Munroes,NS ,2,CampsitePermit,Full,ST
Cape Chignecto,NS ,2,BackcountryPermit,Full,ST
Caribou Munroes,NS ,2,CampsitePermit,Full,ST
Porters Lake,NS ,2,CampsitePermit,Full,LT20ft
Mira River,NS ,2,CampsitePermit,Full,LT30ft
Mira River,NS ,2,CampsitePermit,Senior,LT30ft
Porters Lake,NS ,2,CampsitePermit,Full,LT20ft
Graves Island,NS ,2,CampsitePermit,Senior,LT30ft
Dollar Lake,NS ,2,CampsitePermit,Full,ST
Blomidon,NS ,5,CampsitePermit,Full,LT20ft
Graves Island,NS ,4,CampsitePermit,Full,LT30ft
Caribou Munroes,NS ,3,CampsitePermit,Full,Tents
Graves Island,NS ,2,CampsitePermit,Full,ST
Ellenwood Lake,NS ,2,CampsitePermit,Full,LT30ft
Battery,NS ,1,CampsitePermit,Full,ST
Laurie,NS ,2,CampsitePermit,Full,ST
Graves Island,NS ,2,CampsitePermit,Full,ST
Mira River,NS ,4,CampsitePermit,Full,LT40ft
Dollar Lake,NS ,2,CampsitePermit,Full,ST
Ellenwood Lake,NS ,2,CampsitePermit,Full,ST
Caribou Munroes,NS ,3,CampsitePermit,Full,ST
Porters Lake,NS ,6,CampsitePermit,Full,Tents
The Islands,NS ,2,CampsitePermit,Full,LT30ft
Ellenwood Lake,NS ,3,CampsitePermit,Full,ST
Boylston,NS ,2,CampsitePermit,Full,LT30ft
The Islands,NS ,2,CampsitePermit,Full,ST
Smileys,NS ,2,CampsitePermit,Full,LT40ft
Laurie,NS ,3,CampsitePermit,Full,Tents
Blomidon,NS ,2,CampsitePermit,Full,ST
Mira River,NS ,4,CampsitePermit,Full,ST
Amherst Shore,NS ,1,CampsitePermit,Full,ST
Ellenwood Lake,NS ,3,CampsitePermit,Full,ST
Graves Island,NS ,2,CampsitePermit,Senior,LT40ft
Ellenwood Lake,NS ,4,CampsitePermit,Full,LT20ft
Rissers Beach,NS ,5,CampsitePermit,Full,Tents
Ellenwood Lake,NS ,4,CampsitePermit,Full,LT20ft
Thomas Raddall,NS ,2,CampsitePermit,Full,ST
Mira River,NS ,3,CampsitePermit,Full,LT20ft
Graves Island,NS ,2,CampsitePermit,Full,LT30ft
Salsman,NS ,2,CampsitePermit,Full,ST
The Islands,NS ,2,CampsitePermit,Full,ST
Thomas Raddall,NS ,2,CampsitePermit,Full,ST
Caribou Munroes,NS ,2,CampsitePermit,Full,LT30ft
Rissers Beach,NS ,3,CampsitePermit,Full,LT20ft
Laurie,NS ,3,CampsitePermit,Full,LT20ft
Cape Chignecto,NS ,3,BackcountryPermit,Full,ST
Caribou Munroes,NS ,4,CampsitePermit,Full,LT20ft
Thomas Raddall,NS ,3,CampsitePermit,Full,LT30ft
Smileys,NS ,4,CampsitePermit,Full,LT30ft
The Islands,NS ,2,CampsitePermit,Senior,LT30ft
Whycocomagh,NS ,2,CampsitePermit,Full,Tents
Valleyview,NS ,2,CampsitePermit,Senior,ST
Thomas Raddall,NS ,5,CampsitePermit,Full,Tents
Rissers Beach,NS ,5,CampsitePermit,Full,LT30ft
Valleyview,NS ,1,CampsitePermit,Full,ST
Porters Lake,NS ,2,CampsitePermit,Senior,LT30ft
Graves Island,NS ,2,CampsitePermit,Full,LT30ft
The Islands,NS ,2,CampsitePermit,Full,ST
Caribou Munroes,NS ,3,CampsitePermit,Full,ST
Smileys,NS ,5,CampsitePermit,Full,Tents
Graves Island,NS ,2,CampsitePermit,Full,LT30ft
Caribou Munroes,NS ,1,CampsitePermit,Full,ST
Dollar Lake,NS ,2,CampsitePermit,Full,LT30ft
Mira River,NS ,5,CampsitePermit,Full,LT20ft
Amherst Shore,NS ,2,CampsitePermit,Full,LT20ft
Battery,NS ,2,CampsitePermit,Full,LT40ft
Caribou Munroes,NS ,4,CampsitePermit,Full,LT20ft
Graves Island,NS ,2,CampsitePermit,Full,LT20ft
Graves Island,NS ,1,CampsitePermit,Senior,ST
Dollar Lake,NS ,2,CampsitePermit,Full,ST
Thomas Raddall,NS ,4,CampsitePermit,Full,LT30ft
Amherst Shore,NS ,1,CampsitePermit,Full,LT20ft
Cape Chignecto,NS ,1,BackcountryPermit,Full,ST
Rissers Beach,NS ,2,CampsitePermit,FULL,LT20ft
Valleyview,NS ,2,CampsitePermit,Full,ST
Thomas Raddall,NS ,2,CampsitePermit,Full,ST
Ellenwood Lake,NS ,2,CampsitePermit,Senior,LT20ft
Graves Island,NS ,2,CampsitePermit,Senior,LT30ft
Mira River,NS ,3,CampsitePermit,Senior,LT30ft
Mira River,NS ,5,CampsitePermit,Full,Tents
Porters Lake,NS ,2,CampsitePermit,Full,LT20ft
Graves Island,NS ,1,CampsitePermit,Full,ST
Rissers Beach,NS ,2,CampsitePermit,Full,LT30ft
Blomidon,NS ,2,CampsitePermit,Full,ST
Blomidon,NS ,4,CampsitePermit,Full,Tents
Blomidon,NS ,4,CampsitePermit,Full,ST
Battery,NS ,2,CampsitePermit,Senior,ST
Graves Island,NS ,4,CampsitePermit,Full,LT30ft
Laurie,NS ,2,CampsitePermit,Full,ST
The Islands,NS ,6,CampsitePermit,Full,LT30ft
Dollar Lake,NS ,2,CampsitePermit,Full,LT30ft
Rissers Beach,NS ,4,CampsitePermit,Full,ST
Five Islands,NS ,2,CampsitePermit,Senior,LT20ft
Dollar Lake,NS ,4,CampsitePermit,Full,ST
Graves Island,NS ,4,CampsitePermit,Full,LT30ft
Caribou Munroes,NS ,6,CampsitePermit,Full,LT20ft
Ellenwood Lake,NS ,3,CampsitePermit,Full,ST
Smileys,NS ,3,CampsitePermit,Full,LT20ft
Rissers Beach,NS ,2,CampsitePermit,Full,LT20ft
Cape Chignecto,NS ,2,BackcountryPermit,Full,ST
Graves Island,NS ,2,CampsitePermit,Full,LT40ft
Rissers Beach,NS ,2,CampsitePermit,Full,LT30ft
Mira River,NS ,2,CampsitePermit,Full,ST
Ellenwood Lake,NS ,4,CampsitePermit,Full,ST
Battery,NS ,2,CampsitePermit,Full,ST
Rissers Beach,NS ,2,CampsitePermit,Senior,LT20ft
Smileys,NS ,4,CampsitePermit,Full,LT30ft
Rissers Beach,NS ,3,CampsitePermit,Veteran,LT40ft
Graves Island,NS ,2,CampsitePermit,Full,LT30ft
Ellenwood Lake,NS ,7,CampsitePermit,Full,ST
Rissers Beach,NS ,2,CampsitePermit,Full,LT40ft
Laurie,NS ,5,CampsitePermit,Full,ST
Graves Island,NS ,1,CampsitePermit,Senior,ST
Porters Lake,NS ,4,CampsitePermit,Full,LT20ft
Blomidon,NS ,2,CampsitePermit,Full,ST
Five Islands,NS ,2,CampsitePermit,Full,LT20ft
Graves Island,NS ,1,CampsitePermit,Senior,ST
Battery,NS ,2,CampsitePermit,Full,LT30ft
Mira River,NS ,2,CampsitePermit,Full,LT40ft
Smileys,NS ,4,CampsitePermit,Full,LT20ft
Dollar Lake,NS ,4,CampsitePermit,Full,LT20ft
Dollar Lake,NS ,4,CampsitePermit,Full,Tents
Ellenwood Lake,NS ,4,CampsitePermit,Full,LT30ft
Caribou Munroes,NS ,2,CampsitePermit,Veteran,LT30ft
Rissers Beach,NS ,4,CampsitePermit,Full,LT30ft
Graves Island,NS ,5,CampsitePermit,Full,LT30ft
Porters Lake,NS ,6,CampsitePermit,Full,Tents
Dollar Lake,NS ,6,CampsitePermit,Full,LT20ft
Dollar Lake,NS ,4,CampsitePermit,Full,Tents
Mira River,NS ,2,CampsitePermit,Full,LT30ft
Mira River,NS ,2,CampsitePermit,Full,ST
Laurie,NS ,4,CampsitePermit,Full,ST
Mira River,NS ,6,CampsitePermit,Full,ST
The Islands,NS ,2,CampsitePermit,Full,ST
Dollar Lake,NS ,4,CampsitePermit,Full,LT20ft
Caribou Munroes,NS ,2,CampsitePermit,Full,LT20ft
Dollar Lake,NS ,6,CampsitePermit,Full,Tents
Rissers Beach,NS ,2,CampsitePermit,Full,ST
Graves Island,NS ,3,CampsitePermit,Full,ST
Whycocomagh,NS ,1,CampsitePermit,Full,ST
Ellenwood Lake,NS ,5,CampsitePermit,Full,ST
Dollar Lake,NS ,4,CampsitePermit,Full,ST
Amherst Shore,NS ,5,CampsitePermit,Full,Tents
Mira River,NS ,2,CampsitePermit,Full,LT20ft
Smileys,NS ,2,CampsitePermit,Full,ST
Amherst Shore,NS ,2,CampsitePermit,Full,LT20ft
Blomidon,NS ,4,CampsitePermit,Full,LT20ft
Smileys,NS ,2,CampsitePermit,Full,ST
Thomas Raddall,NS ,2,CampsitePermit,Full,LT30ft
Thomas Raddall,NS ,1,CampsitePermit,Full,ST
The Islands,NS ,2,CampsitePermit,Full,LT20ft
Mira River,NS ,5,CampsitePermit,Full,LT30ft
Dollar Lake,NS ,5,CampsitePermit,Full,LT20ft
Rissers Beach,NS ,6,CampsitePermit,FULL,LT30ft
Caribou Munroes,NS ,1,CampsitePermit,Full,ST
The Islands,NS ,2,CampsitePermit,Full,ST
Graves Island,NS ,2,CampsitePermit,Senior,LT30ft
Rissers Beach,NS ,2,CampsitePermit,Full,LT30ft
Dollar Lake,NS ,3,CampsitePermit,Full,ST
Rissers Beach,NS ,2,CampsitePermit,Full,LT20ft
Porters Lake,NS ,6,CampsitePermit,Full,Tents
Laurie,NS ,2,CampsitePermit,Full,ST
Graves Island,NS ,2,CampsitePermit,Full,LT20ft
Thomas Raddall,NS ,2,CampsitePermit,Full,ST
Mira River,NS ,2,CampsitePermit,Full,ST
Valleyview,NS ,2,CampsitePermit,Full,ST
Smileys,NS ,2,CampsitePermit,Full,LT30ft
Porters Lake,NS ,3,CampsitePermit,Full,LT30ft
Laurie,NS ,4,CampsitePermit,Full,LT30ft
Laurie,NS ,2,CampsitePermit,Full,LT20ft
Caribou Munroes,NS ,3,CampsitePermit,Full,Tents
Porters Lake,NS ,2,CampsitePermit,Full,ST
